method,observed_targets,missed_targets,total_pd_integral,mean_pd,path_length,mean_route_error,max_route_error,min_cbf_h,safety_violations,final_time
Ours,4,0,3185.190876146787,0.11500960014973054,21699.999999999996,2285.240370950877,3989.2609873914116,3700.06093036283,0,17:41:30
Baseline 1,3,1,2170.251673253596,0.07664671281135779,19159.99999999997,1051.7809108485064,3928.7022184941115,6295.612140056735,0,17:51:50
Baseline 2,4,0,3190.245073845522,0.11519209510184228,21599.99999999997,2253.833352876085,3989.0790660119683,-489624.56693307764,284,17:41:30
