Method,TotalPdIntegral,MeanTargetCoverage,CompletedTargets,MissedTargets,FOVSuccessRatePercent,MeanAbsBetaDeg,DetectedObstacles,EncounteredObstacles,AvoidedObstacles,CollidedObstacles,ObstacleAvoidanceRatePercent,MeanObstacleDetectionDelay,UndetectedCloseObstacleEvents,SafetyViolations,MinObstacleClearanceM,MeanObstacleClearanceM,MaxHeadingStepDeg,MeanHeadingStepDeg,MaxYawRateDegS,MeanYawRateDegS,MinTurningRadiusM,PathLength,ReachedEndY,FinalY,TargetCoverageT0,TargetCoverageAreaT0,TargetPdIntegralT0,TargetCoverageT1,TargetCoverageAreaT1,TargetPdIntegralT1,TargetCoverageT2,TargetCoverageAreaT2,TargetPdIntegralT2,TargetCoverageT3,TargetCoverageAreaT3,TargetPdIntegralT3
Ours: direct GP-field smooth pan-camera MPC-CBF,313.8335395379826,0.9040196078431373,4,0,65.36693847294292,39.737562808669274,8,11,11,0,100.0,6069.25,2748,0,7.999999999999147,447.8290074104827,0.6875493541570139,0.10456782902752579,0.6875493541569879,0.10456782902752645,45.833333333333336,27434.865296711152,True,9920.68101150648,0.7866666666666666,630525.0007877985,0.0,1.0,2902624.9677222664,102.88503491805047,0.8294117647058824,1508033.9051721164,0.770673976510087,1.0,1567371.7266166082,210.17783064342208
Baseline 1: fixed camera pose-heading,8.804576637947143,0.5738493292053664,1,3,27.801444711983702,95.67450736057567,3,9,6,3,66.66666666666667,5666.0,3159,530,-265.73072152686177,585.1121456204316,1.0313240312354954,0.08828081808140724,1.0313240312354817,0.0882808180814092,19.444444444444446,25753.50000000008,True,9920.100700783436,0.96,769454.2382495168,6.923124826135827,0.4666666666666667,1354558.318270391,0.0,0.5529411764705883,1005355.9367814108,1.881451811811316,0.3157894736842105,494959.49261577096,0.0
Baseline 2: no CBF,2010.7489443449238,0.5096190230478156,0,4,81.93903118040089,22.703058456555535,3,10,5,5,50.0,8575.333333333334,6713,846,-163.4898707942037,452.7893867107706,1.031324031235521,0.10247387472872611,1.0313240312354817,0.10247387472873219,19.444444444444446,30091.399999999492,True,9920.03250609188,0.3,240454.44945297402,464.8920391054735,0.6722222222222223,1951209.006079968,487.84601061295325,0.32941176470588235,598935.4516995639,456.8626129598167,0.7368421052631579,1154905.4827701324,601.1482816666805
